timestamp,event,label,confidence,action,message
2026-05-27 21:15:24.651076,face_register,a,,REGISTER,Saved sample 1779891324650.jpg
2026-05-27 21:15:24.705098,face_retrain,a,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:15:24.799452,face_retrain,a,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:15:37.800058,face_insufficient_samples,a,0.0,DENY,"Chưa đủ mẫu cho a: 1/3, không mở cửa"
2026-05-27 21:16:40.074056,face_delete,a,,DELETE,Deleted 1 sample(s); removed empty model
2026-05-27 21:16:53.224279,face_register,t,,REGISTER,Saved sample 1779891413223.jpg
2026-05-27 21:16:53.261904,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:16:53.347217,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:16:58.489672,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 21:17:04.313406,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 21:17:17.232855,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 21:17:43.103210,face_register,asd,,REGISTER,Saved sample 1779891463102.jpg
2026-05-27 21:17:43.191664,face_retrain,"asd,t",,TRAIN,Trained FaceAI with 2 sample(s)
2026-05-27 21:17:43.339968,face_retrain,"asd,t",,TRAIN,Trained FaceAI with 2 sample(s)
2026-05-27 21:17:55.988499,face_insufficient_samples,asd,0.0,DENY,"Chưa đủ mẫu cho asd: 1/3, không mở cửa"
2026-05-27 21:19:35.349043,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 21:19:38.175808,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
